"symbol","sdate","qty","price","val","pl","fees","bdate","apply(sells, 1, FindReturns)"
"PCYC",2008-09-10,-5464,2.8,-15299.2,5300.08,0,2008-06-09,0.53
"LPSN",2008-10-22,-3049,2.1,-6402.9,-3597.82,0,2008-04-03,-0.36
"ALLT",2008-11-13,-3030,2.04,-6181.2,-3817.8,0,2008-04-25,-0.38
"DVAX",2008-12-02,-3984,0.24,-956.16,-9043.68,0,2008-05-14,-0.9
"DVAX",2008-12-18,-35714,2.25,-80356.5,70356.58,0,2008-12-12,7.04
"NSU",2008-12-23,-5181,0.7,-3626.7,-6372.63,0,2008-06-02,-0.64
"QTM",2009-01-05,-35714,0.45,-16071.3,6071.38,0,2008-12-10,0.61
"EXAS",2009-01-13,-11236,1.5,-16854,6853.96,0,2008-08-13,0.69
"IMGN",2009-02-04,-2232,4.67,-10423.44,424.079999999999,0,2008-07-17,0.04
"LXRX",2009-02-11,-4405,1.5,-6607.5,-3391.85,0,2008-07-24,-0.34
"TPCG",2009-02-18,-476,4,-1904,-8092,0,2008-07-30,-0.81
"SCSS",2009-03-04,-4630,0.24,-1111.2,-8889.6,0,2008-08-14,-0.89
"HSTM",2009-03-10,-3571,1.71,-6106.41,-3892.39,0,2008-08-20,-0.39
"SCSS",2009-03-23,-40000,0.4,-16000,6000,0,2009-03-17,0.6
"QTM",2009-03-30,-19608,0.73,-14313.84,4313.76,0,2009-02-02,0.43
"SCSS",2009-04-02,-20000,0.95,-19000,9000,0,2009-03-27,0.9
"CBB",2009-04-03,-5747,2.59,-14884.73,4884.95,0,2009-02-12,0.49
"DSGX",2009-04-07,-2500,3.02,-7550,-2450,0,2008-09-15,-0.24
"LINTB",2009-04-17,-3257,5.29,-17229.53,7230.54,0,2008-12-18,0.72
"QTM",2009-04-17,-14493,1.24,-17971.32,7971.15,0,2009-03-31,0.8
"WETF",2009-05-04,-12500,1.2,-15000,5000,0,2009-04-07,0.5
"DISCB",2009-05-05,-735,21.19,-15574.65,5578.65,0,2008-11-28,0.56
"DNN",2009-05-05,-6250,2.57,-16062.5,6062.5,0,2009-04-27,0.61
"LPSN",2009-05-11,-4808,3.02,-14520.16,4519.52,0,2009-03-23,0.45
"KS",2009-05-12,-4000,4,-16000,6000,0,2009-03-24,0.6
"ELGX",2009-05-20,-5000,2.26,-11300,1300,0,2008-10-30,0.13
"INHX",2009-05-20,-37037,0.44,-16296.28,6296.29,0,2009-04-02,0.63
"DVAX",2009-05-29,-10101,1.53,-15454.53,5454.54,0,2008-12-22,0.55
"VHC",2009-06-02,-4902,1.5,-7353,-2647.08,0,2008-11-10,-0.26
"EXAS",2009-06-25,-6250,2.37,-14812.5,4812.5,0,2009-01-15,0.48
"ACHC",2009-07-01,-10638,1.5,-15957,5957.28,0,2009-04-22,0.6
"LBTYB",2009-07-21,-634,18.63,-11811.42,1813.24,0,2008-12-31,0.18
"HYC",2009-07-21,-8197,1.86,-15246.42,5246.08,0,2009-05-08,0.52
"BLC",2009-07-24,-6452,2.45,-15807.4,5806.8,0,2009-04-29,0.58
"ALLT",2009-07-31,-3704,4.1,-15186.4,5185.6,0,2009-05-21,0.52
"MTOR",2009-08-04,-3165,2.4,-7596,-2405.4,0,2009-01-12,-0.24
"AKRX",2009-08-04,-9901,1.52,-15049.52,5049.51,0,2009-05-20,0.5
"LINTB",2009-08-13,-1449,9.79,-14185.71,4187.61,0,2009-08-04,0.42
"NCT",2009-08-14,-13699,1.23,-16849.77,6849.5,0,2009-08-06,0.68
"RTK",2009-08-19,-8065,2.3,-18549.5,8548.9,0,2009-08-14,0.85
"HSTM",2009-08-27,-3546,4.28,-15176.88,5177.16,0,2009-07-17,0.52
"INHX",2009-09-01,-23256,0.59,-13721.04,3720.96,0,2009-05-22,0.37
"HTWR",2009-09-16,-370,27.96,-10345.2,355.2,0,2009-02-26,0.04
"BLC",2009-09-16,-3300,4.71,-15543,5544,0,2009-07-28,0.55
"NCT",2009-09-18,-7519,2.48,-18647.12,8646.85,0,2009-08-18,0.86
"SANM",2009-09-21,-1667,8.8,-14669.6,4667.6,0,2009-08-31,0.47
"DSGX",2009-10-05,-2545,5.75,-14633.75,4631.9,0,2009-05-29,0.46
"QTM",2009-11-05,-6711,2.54,-17045.94,7046.55,0,2009-04-20,0.7
"DNN",2009-11-24,-4202,1.41,-5924.82,-4075.94,0,2009-05-06,-0.41
"WAC",2009-12-02,-775,12.9,-9997.5,-7.74999999999983,0,2009-05-14,0
"OSUR",2009-12-29,-2882,5.2,-14986.4,4985.86,0,2009-10-12,0.5
"WETF",2009-12-31,-6579,1.8,-11842.2,1842.12,0,2009-06-12,0.18
"SANM",2010-01-15,-1200,12.12,-14544,4548,0,2009-11-10,0.45
"FNSR",2010-03-05,-1110,13.46,-14940.6,4939.5,0,2009-11-17,0.49
"RTK",2010-03-10,-4310,1.09,-4697.9,-5301.3,0,2009-08-20,-0.53
"AIG",2010-03-16,-288,34.79,-10019.52,34.5599999999993,0,2009-08-25,0
"TPCG",2010-03-26,-1433,11,-15763,5760.66,0,2009-12-01,0.58
"SMI",2010-03-29,-2463,6.19,-15245.97,5246.19,0,2010-01-12,0.52
"NCT",2010-04-13,-2710,4.03,-10921.3,921.400000000001,0,2009-09-22,0.09
"AKRX",2010-04-22,-7042,2.05,-14436.1,4436.46,0,2009-10-15,0.44
"TPCG",2010-05-13,-833,18.24,-15193.92,5197.92,0,2010-03-31,0.52
"AMRN",2010-05-24,-5464,2.78,-15189.92,5190.8,0,2010-04-09,0.52
"MFG",2010-07-07,-2421,3.28,-7940.88,-2057.85,0,2009-12-17,-0.21
"OPK",2010-07-27,-5556,2.41,-13389.96,3389.16,0,2010-01-04,0.34
"BZ",2010-07-28,-1675,5.94,-9949.5,-50.2499999999989,0,2010-01-07,-0.01
"TARO",2010-08-11,-976,11.75,-11468,1464,0,2010-01-21,0.15
"GTAT",2010-08-17,-1739,8.6,-14955.4,4956.15,0,2010-04-16,0.5
"HF",2010-09-28,-1316,8.98,-11817.68,1816.08,0,2010-03-09,0.18
"ACHC",2010-09-30,-7042,1.29,-9084.18,-915.459999999999,0,2010-03-12,-0.09
"CRWN",2010-10-14,-4049,3.77,-15264.73,5263.7,0,2010-07-30,0.53
"ELGX",2010-10-26,-2370,5.1,-12087,2085.6,0,2010-04-05,0.21
"FTK",2010-11-09,-5682,1.97,-11193.54,1193.22,0,2010-04-19,0.12
"NCT",2010-11-10,-3597,4.87,-17517.39,7517.73,0,2010-07-27,0.75
"ALLT",2010-11-22,-1869,7.98,-14914.62,4915.47,0,2010-08-11,0.49
"RTK",2010-11-23,-7519,1.25,-9398.75,-601.520000000001,0,2010-05-03,-0.06
"AMRN",2010-11-30,-3636,5.85,-21270.6,11271.6,0,2010-05-25,1.13
"PRIM",2011-01-04,-1506,10,-15060,5060.16,0,2010-07-23,0.51
"LXRX",2011-01-07,-6803,2.1,-14286.3,4285.89,0,2010-07-26,0.43
"ACHC",2011-02-09,-5988,2.51,-15029.88,5029.92,0,2010-11-12,0.5
"ALLT",2011-02-10,-990,15,-14850,4851,0,2010-12-20,0.49
"NL",2011-02-14,-1096,14.3,-15672.8,5677.28,0,2010-09-30,0.57
"NCT",2011-02-16,-2045,8.13,-16625.85,6625.8,0,2010-11-11,0.66
"CMVT",2011-04-12,-1739,7.52,-13077.28,3078.03,0,2010-09-20,0.31
"LINTB",2011-04-13,-773,16.97,-13117.81,3115.19,0,2010-09-23,0.31
"CRWN",2011-05-05,-2786,2.18,-6073.48,-3928.26,0,2010-10-15,-0.39
"SMI",2011-05-11,-2381,5.73,-13643.13,3642.93,0,2010-10-21,0.36
"NEWS",2011-05-26,-1182,8.59,-10153.38,153.659999999999,0,2010-11-05,0.02
"SQNM",2011-07-19,-1232,7.49,-9227.68,-776.159999999999,0,2010-12-28,-0.08
"STSA",2011-07-28,-455,16.31,-7421.05,-2588.95,0,2011-01-07,-0.26
"MTOR",2011-08-10,-2950,4.2,-12390,2389.5,0,2011-02-01,0.24
"RAD",2011-08-18,-7874,1.05,-8267.7,-1732.28,0,2011-01-28,-0.17
"ELGX",2011-09-16,-1348,10.92,-14720.16,4718,0,2011-04-15,0.47
"IDIX",2011-11-16,-2070,6.89,-14262.3,4264.2,0,2011-04-28,0.43
"LINTB",2011-11-22,-554,15.4,-8531.6,-1468.1,0,2011-05-02,-0.15
"NCT",2012-01-24,-1623,5.12,-8309.76,-1687.92,0,2011-07-06,-0.17
"CRBC",2012-02-14,-1071,13.6,-14565.6,4562.46,0,2011-08-01,0.46
"GPK",2012-03-14,-2336,5.72,-13361.92,3363.84,0,2011-08-25,0.34
"SMI",2012-04-05,-3322,2.45,-8138.9,-1860.32,0,2011-09-16,-0.19
"DISCB",2012-05-01,-240,51.8,-12432,2438.4,0,2011-10-17,0.24
"CLWR",2012-05-01,-4878,1.49,-7268.22,-2731.68,0,2011-10-27,-0.27
